10,24700,13,18000,13,
10,19100,13,10300,13,
10,30300,11,12500,11,
10,27900,13,10200,13,
10,19100,13,10200,13,
10,40200,15,10200,15,
10,16700,13,12300,13,
10,16700,9,10300,9,
10,17700,13,10300,13,
10,16600,13,10100,13,
10,15500,13,10900,13,
10,16900,13,10300,13,
10,18000,15,10500,15,
10,16400,13,11300,13,
10,13100,11,10700,11,
10,16200,11,10300,11,
10,23500,11,16100,11,
10,25400,15,31500,15,
10,30100,13,15400,13,
10,27700,13,15800,13,
10,30900,15,14400,15,
10,28200,13,17400,13,
10,26300,13,16500,13,
10,17700,11,10000,11,
10,16800,13,10000,13,
10,12500,11,10500,11,
10,15200,11,11100,11,
10,16800,13,10000,13,
10,16400,15,10400,15,
10,13000,13,9900,13,
10,17200,11,10000,11,
10,17700,13,10900,13,
10,16700,13,10600,13,
10,27800,13,15500,13,
10,32000,9,15800,9,
10,28700,13,15900,13,
10,27900,11,17100,11,
10,27100,13,15800,13,
10,25100,13,10300,13,
10,4000,13,12300,13,
10,3300,11,8300,11,
10,3200,13,8300,13,
10,16700,11,8300,11,
10,3200,13,8400,13,
10,3100,11,8100,11,
10,3100,13,8200,13,
10,2500,11,8100,11,
10,3100,13,8300,13,
10,3100,13,8000,13,
10,4100,13,8100,13,
20,9400,20,27800,20,
20,10200,26,26700,26,
20,10200,24,27300,24,
20,10800,24,28500,24,
20,10300,24,36600,24,
20,11300,24,28500,24,
20,11000,24,87500,24,
20,16200,26,78800,26,
20,10200,20,26900,20,
20,9300,22,27400,22,
20,10000,20,27200,20,
20,9500,26,26600,26,
20,16000,26,68500,26,
20,10100,22,29200,22,
20,11000,20,26800,20,
20,10500,24,26800,24,
20,9900,22,26800,22,
20,10200,24,28100,24,
20,10200,22,37900,22,
20,11100,20,27000,20,
20,13000,22,87200,22,
20,18200,24,69700,24,
20,11100,26,26600,26,
20,9000,22,26600,22,
20,11000,24,27300,24,
20,8100,22,27700,22,
20,8100,20,26700,20,
20,10200,22,26700,22,
20,10900,24,84200,24,
20,16800,20,75800,20,
20,11400,24,26900,24,
20,10600,24,26600,24,
20,9100,20,27300,20,
20,10000,24,27800,24,
20,9700,24,26900,24,
20,10400,26,26900,26,
20,9800,24,26800,24,
20,10700,24,27300,24,
20,10300,22,26800,22,
20,10100,26,26900,26,
20,10600,24,26800,24,
20,10200,24,27900,24,
20,10400,24,27000,24,
20,10600,26,27400,26,
20,9800,20,42500,20,
20,11700,24,29800,24,
20,9900,22,27400,22,
20,10600,24,26600,24,
20,10100,24,26800,24,
20,10100,20,27600,20,
30,22300,35,58200,35,
30,21200,29,57800,29,
30,28300,35,57800,35,
30,22900,37,62300,37,
30,22600,35,60700,35,
30,22900,33,61800,33,
30,23100,35,61700,35,
30,23400,37,203600,37,
30,29700,37,93100,37,
30,22300,31,62200,31,
30,21800,35,60100,35,
30,21100,35,61800,35,
30,22800,35,16300,35,
30,39000,37,15200,37,
30,34900,31,15100,31,
30,23200,37,15000,37,
30,23000,37,15100,37,
30,39600,33,15100,33,
30,33800,33,15400,33,
30,34700,37,17200,37,
30,36000,37,14900,37,
30,36600,37,15000,37,
30,35600,39,15000,39,
30,28700,35,15100,35,
30,22300,35,15000,35,
30,34500,33,20200,33,
30,36200,35,14900,35,
30,34400,33,15000,33,
30,35700,35,15100,35,
30,35100,35,15600,35,
30,36100,35,15100,35,
30,35700,35,15400,35,
